"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 07 09:51:47 GMT 2025","Fri Feb 07 09:51:48 GMT 2025","304","Surefire suite","Surefire test","ui.tests.DemoTest","ui.tests.DemoTest","secondTest","secondTest","This test each click in the menu against the text revealed."
"passed","Fri Feb 07 09:51:45 GMT 2025","Fri Feb 07 09:51:46 GMT 2025","527","Surefire suite","Surefire test","api.tests.DemoApiTest","api.tests.DemoApiTest","testPostRequest","testPostRequest","This test verifies that a user can be created."
"passed","Fri Feb 07 09:51:48 GMT 2025","Fri Feb 07 09:51:48 GMT 2025","279","Surefire suite","Surefire test","ui.tests.DemoTest","ui.tests.DemoTest","secondTest","secondTest","This test each click in the menu against the text revealed."
"passed","Fri Feb 07 09:51:44 GMT 2025","Fri Feb 07 09:51:45 GMT 2025","1327","Surefire suite","Surefire test","api.tests.DemoApiTest","api.tests.DemoApiTest","testGetRequest","testGetRequest","This test verifies that a list of users can be retrieved and is accurate."
"passed","Fri Feb 07 09:51:46 GMT 2025","Fri Feb 07 09:51:47 GMT 2025","934","Surefire suite","Surefire test","ui.tests.DemoTest","ui.tests.DemoTest","firstTest","First Test in Demo Project","This test verifies that the color retrieve matches the click."
"passed","Fri Feb 07 09:51:47 GMT 2025","Fri Feb 07 09:51:47 GMT 2025","347","Surefire suite","Surefire test","ui.tests.DemoTest","ui.tests.DemoTest","secondTest","secondTest","This test each click in the menu against the text revealed."
