"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 30 18:43:46 GMT 2025","Thu Jan 30 18:43:47 GMT 2025","278","Surefire suite","Surefire test","ui.tests.DemoTest","ui.tests.DemoTest","secondTest","secondTest","This test each click in the menu against the text revealed."
"passed","Thu Jan 30 18:43:47 GMT 2025","Thu Jan 30 18:43:47 GMT 2025","259","Surefire suite","Surefire test","ui.tests.DemoTest","ui.tests.DemoTest","secondTest","secondTest","This test each click in the menu against the text revealed."
"passed","Thu Jan 30 18:43:44 GMT 2025","Thu Jan 30 18:43:45 GMT 2025","1338","Surefire suite","Surefire test","api.tests.DemoApiTest","api.tests.DemoApiTest","testGetUser","testGetUser","This test verifies that a list of users can be retrieved and is accurate."
"passed","Thu Jan 30 18:43:45 GMT 2025","Thu Jan 30 18:43:46 GMT 2025","554","Surefire suite","Surefire test","ui.tests.DemoTest","ui.tests.DemoTest","firstTest","First Test in Demo Project","This test verifies that the color retrieve matches the click."
"passed","Thu Jan 30 18:43:46 GMT 2025","Thu Jan 30 18:43:46 GMT 2025","319","Surefire suite","Surefire test","ui.tests.DemoTest","ui.tests.DemoTest","secondTest","secondTest","This test each click in the menu against the text revealed."
